yourlist:M202206216320BA52A5CE8FCD097CB85A53697A355200ED8	Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_A0A2C1KC26	UniRef100_A0A2C1KC26	Cluster: Stage V sporulation protein AE	A0A2C1KC26	Bacillus sp. AFS040349	116	2033502
UniRef100_A0A897HG18	UniRef100_A0A897HG18	Cluster: Stage V sporulation protein AE	A0A897HG18	Priestia megaterium (Bacillus megaterium)	116	1404
UniRef100_A0A1I1ZM43	UniRef100_A0A1I1ZM43	Cluster: Stage V sporulation protein AE	A0A1I1ZM43	Alteribacillus iranensis	116	930128
UniRef100_A0A4R8G9W5	UniRef100_A0A4R8G9W5	Cluster: Stage V sporulation protein AE	A0A4R8G9W5; A0A366JH03	Cytobacillus oceanisediminis; Cytobacillus firmus (Bacillus firmus)	116	665099; 1399
UniRef100_UPI000EF57EE0	UniRef100_UPI000EF57EE0	Cluster: stage V sporulation protein AE	UPI000EF57EE0	Metabacillus litoralis	116	152268
UniRef100_UPI001152394B	UniRef100_UPI001152394B	Cluster: stage V sporulation protein AE	UPI001152394B	Alkalihalobacterium alkalinitrilicum	116	427920
UniRef100_UPI0011A0DB29	UniRef100_UPI0011A0DB29	Cluster: stage V sporulation protein AE	UPI0011A0DB29	Paenibacillaceae	116	186822
UniRef100_A0A4U1D0N5	UniRef100_A0A4U1D0N5	Cluster: Stage V sporulation protein AE	A0A4U1D0N5	Robertmurraya kyonggiensis	116	1037680
UniRef100_UPI001C1FE0AA	UniRef100_UPI001C1FE0AA	Cluster: stage V sporulation protein AE	UPI001C1FE0AA	Alkalihalobacterium elongatum	116	2675466
UniRef100_A0A3R9MNV6	UniRef100_A0A3R9MNV6	Cluster: Stage V sporulation protein AE	A0A3R9MNV6	Bacillus sp. HMF5848	118	2495421
UniRef100_UPI000C246630	UniRef100_UPI000C246630	Cluster: stage V sporulation protein AE	UPI000C246630	Bacillus solitudinis	116	2014074
UniRef100_A0A0J1I414	UniRef100_A0A0J1I414	Cluster: Stage V sporulation protein AEB	A0A0J1I414; A0A7Y0KE77; A0A6I1EWF7	Niallia circulans (Bacillus circulans); Niallia alba; Bacillus sp. B1-b2	116	1397; 2729105; 2653201
UniRef100_U6SS88	UniRef100_U6SS88	Cluster: Stage V sporulation protein AEB	U6SS88	Alkalihalophilus marmarensis DSM 21297	116	1188261
UniRef100_A0A094WNZ2	UniRef100_A0A094WNZ2	Cluster: Stage V sporulation protein AEB	A0A094WNZ2	Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604	116	1218173
UniRef100_A0A1H3L7Z6	UniRef100_A0A1H3L7Z6	Cluster: Stage V sporulation protein AE	A0A1H3L7Z6	Evansella caseinilytica	116	1503961
UniRef100_A0A380XR58	UniRef100_A0A380XR58	Cluster: Stage V sporulation protein AE	A0A380XR58; A0A6L5AZN8; A0A1R1F7N6; A0A160MCB9; A0A4S3PJA8; A0A4S3PK97	Cytobacillus firmus (Bacillus firmus); Bacillus sp. ZZV12-4809; Paenibacillus sp. FSL R5-0490; Cytobacillus oceanisediminis 2691; Bacillus timonensis	116	1399; 2575830; 1920424; 1196031; 1033734
UniRef100_A0A4Y3PIM1	UniRef100_A0A4Y3PIM1	Cluster: Stage V sporulation protein AE	A0A4Y3PIM1	Brevibacillus parabrevis	116	54914
UniRef100_A0A0N0E976	UniRef100_A0A0N0E976	Cluster: Stage V sporulation protein AEB	A0A0N0E976	Bacillus sp. CHD6a	116	1643452
UniRef100_A0A0M2PQK9	UniRef100_A0A0M2PQK9	Cluster: Stage V sporulation protein AEB	A0A0M2PQK9	Bacillus sp. SA1-12	116	1455638
UniRef100_A0A658JHQ4	UniRef100_A0A658JHQ4	Cluster: Stage V sporulation protein AE	A0A658JHQ4; UPI000662015E	Butyricicoccus sp. 1XD8-22; Bacillus sp. 445_BSPC	116	2320083; 1581712
UniRef100_UPI000995AED1	UniRef100_UPI000995AED1	Cluster: stage V sporulation protein AE	UPI000995AED1	Metabacillus halosaccharovorans	116	930124
UniRef100_A0A235FAN3	UniRef100_A0A235FAN3	Cluster: Stage V sporulation protein AE	A0A235FAN3	Fictibacillus aquaticus	116	2021314
UniRef100_A0A7T9RES6	UniRef100_A0A7T9RES6	Cluster: Stage V sporulation protein AE	A0A7T9RES6	Peribacillus psychrosaccharolyticus (Bacillus psychrosaccharolyticus)	116	1407
UniRef100_J3B0S3	UniRef100_J3B0S3	Cluster: Stage V sporulation protein AE	J3B0S3; A0A3M8ARR1; A0A6I7FPX0	Brevibacillus sp. CF112; Brevibacillus agri; Bacillus sp. NSP2.1	116	1144311; 51101; 1071072
UniRef100_A0A4S3PHX1	UniRef100_A0A4S3PHX1	Cluster: Stage V sporulation protein AE	A0A4S3PHX1	Bacillus timonensis	116	1033734
UniRef100_UPI00047A2783	UniRef100_UPI00047A2783	Cluster: stage V sporulation protein AE	UPI00047A2783	Metabacillus	116	2675233
UniRef100_UPI001C26D5FF	UniRef100_UPI001C26D5FF	Cluster: stage V sporulation protein AE	UPI001C26D5FF	Desertibacillus haloalkaliphilus	116	1328930
UniRef100_A0A7Y5EPR9	UniRef100_A0A7Y5EPR9	Cluster: Stage V sporulation protein AE	A0A7Y5EPR9	Cytobacillus firmus (Bacillus firmus)	116	1399
UniRef100_A0A7X8MYV1	UniRef100_A0A7X8MYV1	Cluster: Stage V sporulation protein AE	A0A7X8MYV1; A0A5D4T148	Bacillus sp. RO1; Sutcliffiella horikoshii	116	2722703; 79883
UniRef100_UPI0007BF0857	UniRef100_UPI0007BF0857	Cluster: stage V sporulation protein AE	UPI0007BF0857; UPI00080A8D9B	Bacillus massiliglaciei; Bacillus sp. 220_BSPC	116	1816693; 1579346
UniRef100_A0A4Y8ISL4	UniRef100_A0A4Y8ISL4	Cluster: Stage V sporulation protein AE	A0A4Y8ISL4	Filobacillus milosensis	116	94137
UniRef100_UPI000C0BCB1E	UniRef100_UPI000C0BCB1E	Cluster: stage V sporulation protein AE	UPI000C0BCB1E	Fredinandcohnia onubensis	116	1571209
UniRef100_A0A3D8VMS9	UniRef100_A0A3D8VMS9	Cluster: Stage V sporulation protein AE	A0A3D8VMS9	Halobacillus trueperi	116	156205
UniRef100_A0A371RWU7	UniRef100_A0A371RWU7	Cluster: Stage V sporulation protein AE	A0A371RWU7	Bacillus sp. HNG	116	2293325
UniRef100_D3FZW5	UniRef100_D3FZW5	Cluster: Sporulation protein	D3FZW5; A0A1Q9PP45	Alkalihalobacillus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4) (Bacillus pseudofirmus); Alkalihalobacillus pseudofirmus (Bacillus pseudofirmus)	116	398511; 79885
UniRef100_W2EH23	UniRef100_W2EH23	Cluster: Stage V sporulation protein AE	W2EH23; V9W1H7; A0A2A5JWT1; A0A6C0QWX2; A0A1V0UZ02	Paenibacillus larvae subsp. larvae DSM 25719; Paenibacillus larvae subsp. larvae DSM 25430; Paenibacillus larvae subsp. larvae (strain NRRL B-3650 / LMG 16245); Paenibacillus larvae subsp. larvae; Paenibacillus larvae subsp. pulvifaciens	118	697286; 697284; 741161; 147375; 1477
UniRef100_A0A098ETA3	UniRef100_A0A098ETA3	Cluster: Stage V sporulation protein AE	A0A098ETA3	Peribacillus simplex	116	1478
UniRef100_UPI001CFAE211	UniRef100_UPI001CFAE211	Cluster: stage V sporulation protein AE	UPI001CFAE211	Bacillus shivajii	116	1983719
UniRef100_A0A1S2M4B8	UniRef100_A0A1S2M4B8	Cluster: Stage V sporulation protein AE	A0A1S2M4B8	Anaerobacillus isosaccharinicus	116	1532552
