id,name,RepID,species,len,Tax,Size
P40868/1-150,,,,,,
UniRef100_UPI001557B50D/4-147,Cluster: stage V sporulation protein AC,UPI001557B50D,Bacillus sp. WMMC1349,149,2736254,1.0
UniRef100_UPI001C1F20A6/13-154,Cluster: stage V sporulation protein AC,UPI001C1F20A6,Paenibacillus sp. SM 69,159,2594886,1.0
UniRef100_A0A7Y8RV01/4-147,Cluster: Stage V sporulation protein AC,A0A7Y8RV01,Bacillus sp.,149,1409,3.0
UniRef100_A0A081P8T6/13-154,Cluster: Stage V sporulation protein AC,A0A081P8T6,Paenibacillus tyrfis,159,1501230,1.0
UniRef100_A0A7U5D547/3-147,Cluster: Stage V sporulation protein AC,A0A7U5D547,Bacillus subtilis subsp. globigii,150,1496303,2.0
UniRef100_A0A2T6FVV0/13-154,Cluster: Stage V sporulation protein AC,A0A2T6FVV0,Paenibacillus elgii,159,189691,1.0
UniRef100_A0A0J6EYI1/4-147,Cluster: Stage V sporulation protein AC,A0A0J6EYI1,Bacillus glycinifermentans,149,1664069,1.0
UniRef100_UPI000B5947F0/13-154,Cluster: stage V sporulation protein AC,UPI000B5947F0,Paenibacillus tyrfis,159,1501230,1.0
UniRef100_UPI0011BF7826/4-146,Cluster: stage V sporulation protein AC,UPI0011BF7826,Bacillus paralicheniformis,149,1648923,1.0
UniRef100_A0A837XX55/3-147,Cluster: Uncharacterized protein,A0A837XX55,Bacillus atrophaeus,150,1452,1.0
UniRef100_A0A5D4T2G3/5-147,Cluster: Stage V sporulation protein AC,A0A5D4T2G3,Sutcliffiella horikoshii,152,79883,1.0
UniRef100_UPI00102DEEB6/3-146,Cluster: stage V sporulation protein AC,UPI00102DEEB6,Bacillus paralicheniformis,149,1648923,1.0
UniRef100_A0A0J5H0V1/5-147,Cluster: Stage V sporulation protein AC,A0A0J5H0V1,Bacillus sp. LL01,152,1665556,1.0
UniRef100_A0A4R6AF63/5-147,Cluster: Stage V sporulation protein AC,A0A4R6AF63,[Brevibacterium] frigoritolerans,151,450367,1.0
UniRef100_UPI001CBB3873/6-148,Cluster: stage V sporulation protein AC,UPI001CBB3873,Bacillus sp. DG-18,153,2875501,1.0
UniRef100_A0A7Z0WVR2/3-146,Cluster: Stage V sporulation protein AC (SpoVAC),A0A7Z0WVR2,Bacillus paralicheniformis,149,1648923,1.0
UniRef100_UPI001CBBC4EC/5-147,Cluster: stage V sporulation protein AC,UPI001CBBC4EC,Sutcliffiella horikoshii,152,79883,1.0
UniRef100_UPI001CBE93E3/6-147,Cluster: stage V sporulation protein AC,UPI001CBE93E3,Bacillus sp. BY2G20,151,2874282,1.0
UniRef100_UPI000871F92F/8-151,Cluster: stage V sporulation protein AC,UPI000871F92F,Bacillus marinisedimentorum,153,1821260,1.0
UniRef100_A0A8G0WJ13/3-149,Cluster: Stage V sporulation protein AC,A0A8G0WJ13,Bacillus inaquosorum,150,483913,3.0
UniRef100_UPI001C3F9A28/4-146,Cluster: stage V sporulation protein AC,UPI001C3F9A28,Bacillus licheniformis,149,1402,1.0
UniRef100_UPI001BE999F6/3-148,Cluster: stage V sporulation protein AC,UPI001BE999F6,unclassified Bacillus (in: Bacteria),150,185979,1.0
UniRef100_UPI0013D07FB4/4-148,Cluster: stage V sporulation protein AC,UPI0013D07FB4,Bacillus safensis,150,561879,1.0
UniRef100_A0A2N5FDY0/6-147,Cluster: Stage V sporulation protein AC,A0A2N5FDY0,Bacillus sp. UMB0893,151,2066053,1.0
UniRef100_A0A073K3M7/6-149,Cluster: Stage V sporulation protein AC,A0A073K3M7,Bacillus manliponensis,151,574376,1.0
UniRef100_A0A4V1NXW4/11-154,Cluster: Stage V sporulation protein AC,A0A4V1NXW4,Ammoniphilus sp. CFH 90114,159,2493665,1.0
UniRef100_A0A415JEA3/4-146,Cluster: Stage V sporulation protein AC,A0A415JEA3,Bacillus licheniformis,149,1402,4.0
UniRef100_A0A5D4N9C8/3-149,Cluster: Stage V sporulation protein AC,A0A5D4N9C8,Bacillus subtilis,150,1423,1.0
UniRef100_UPI00145DB0A1/5-147,Cluster: stage V sporulation protein AC,UPI00145DB0A1,Bacillus sp. RO2,152,2723913,1.0
UniRef100_UPI001422C87E/11-152,Cluster: stage V sporulation protein AC,UPI001422C87E,Paenibacillus lupini,161,1450204,1.0
UniRef100_A0A150F8Q4/3-148,Cluster: Stage V sporulation protein AC,A0A150F8Q4,Bacillus nakamurai,150,1793963,1.0
UniRef100_A0A1S2C2A5/7-150,Cluster: Stage V sporulation protein AC,A0A1S2C2A5,Priestia aryabhattai,153,412384,1.0
UniRef100_UPI000F5E0CF5/4-146,Cluster: stage V sporulation protein AC,UPI000F5E0CF5,Bacillus licheniformis,149,1402,1.0
UniRef100_A0A161S805/13-154,Cluster: Stage V sporulation protein AC,A0A161S805,Paenibacillus elgii,159,189691,1.0
UniRef100_A0A6I2MB91/5-147,Cluster: Stage V sporulation protein AC,A0A6I2MB91,Metabacillus idriensis,151,324768,2.0
UniRef100_A0A8I2FLZ9/3-148,Cluster: Stage V sporulation protein AC,A0A8I2FLZ9,Bacillus amyloliquefaciens (Bacillus velezensis),150,1390,5.0
UniRef100_A0A3D8X3U2/7-150,Cluster: Stage V sporulation protein AC,A0A3D8X3U2,Priestia megaterium (Bacillus megaterium),153,1404,1.0
UniRef100_A0A3E0R742/11-154,Cluster: Stage V sporulation protein AC,A0A3E0R742,Brevibacillus sp.,157,1882945,1.0
UniRef100_A0A6H2JS62/3-149,Cluster: Stage V sporulation protein AC,A0A6H2JS62,Bacillus mojavensis,150,72360,1.0
UniRef100_A0A5B8PWI0/7-150,Cluster: Stage V sporulation protein AC,A0A5B8PWI0,Priestia megaterium (Bacillus megaterium),153,1404,2.0
UniRef100_UPI001C0EF5C2/3-146,Cluster: stage V sporulation protein AC,UPI001C0EF5C2,Brevibacillus sp. MCWH,149,2508871,1.0
UniRef100_UPI000994C65F/5-147,Cluster: stage V sporulation protein AC,UPI000994C65F,Sutcliffiella halmapala,152,79882,1.0
UniRef100_UPI0019657E0D/7-149,Cluster: stage V sporulation protein AC,UPI0019657E0D,Metabacillus iocasae,152,2291674,1.0
UniRef100_A0A2A8T268/7-150,Cluster: Stage V sporulation protein AC,A0A2A8T268,Priestia megaterium (Bacillus megaterium),153,1404,7.0
UniRef100_A0A1I2PLV9/7-150,Cluster: Stage V sporulation protein AC,A0A1I2PLV9,Priestia megaterium (Bacillus megaterium),153,1404,3.0
UniRef100_A0A1R1QFZ5/5-147,Cluster: Stage V sporulation protein AC,A0A1R1QFZ5,Bacillus swezeyi,149,1925020,1.0
UniRef100_UPI0015F3BA76/7-150,Cluster: stage V sporulation protein AC,UPI0015F3BA76,Priestia aryabhattai,153,412384,1.0
UniRef100_A0A0B4S964/4-148,Cluster: Stage V sporulation protein AC,A0A0B4S964,Bacillus sp. WP8,150,756828,1.0
UniRef100_UPI001BA1AAF5/11-154,Cluster: stage V sporulation protein AC,UPI001BA1AAF5,Brevibacillus sp. NL20B1,157,2829799,1.0
UniRef100_A0A831TNX0/11-153,Cluster: Stage V sporulation protein AC,A0A831TNX0,Paenibacillaceae bacterium,163,2003592,1.0
UniRef100_A0A6I7FFL7/5-147,Cluster: Stage V sporulation protein AC,A0A6I7FFL7,Bacillus sp. NSP9.1,149,1071078,1.0
UniRef100_UPI00065D5F9E/4-148,Cluster: stage V sporulation protein AC,UPI00065D5F9E,Bacillus sp. G1(2015b),150,1706732,1.0
UniRef100_UPI001CD26A90/4-148,Cluster: stage V sporulation protein AC,UPI001CD26A90,Bacillus safensis,150,561879,1.0
UniRef100_A0A084GVX8/3-145,Cluster: Stage V sporulation protein AC,A0A084GVX8,Metabacillus indicus (Bacillus indicus),149,246786,1.0
UniRef100_A0A0N8HWS3/4-148,Cluster: Stage V sporulation protein AC,A0A0N8HWS3,Bacillus australimaris,150,1326968,1.0
UniRef100_UPI00195CF69D/5-147,Cluster: stage V sporulation protein AC,UPI00195CF69D,Bacillus tianshenii,152,1463404,1.0
UniRef100_A0A8F4VG03/3-149,Cluster: Stage V sporulation protein AC,A0A8F4VG03,Bacillus spizizenii (Bacillus subtilis subsp. spizizenii),150,96241,3.0
UniRef100_UPI00128B8B6A/4-146,Cluster: stage V sporulation protein AC,UPI00128B8B6A,Bacillus paralicheniformis,149,1648923,1.0
UniRef100_UPI0006731BE4/9-151,Cluster: stage V sporulation protein AC,UPI0006731BE4,Thermoactinomyces vulgaris,156,2026,1.0
UniRef100_A0A7X8MY91/5-147,Cluster: Stage V sporulation protein AC,A0A7X8MY91,Bacillus sp. RO1,152,2722703,1.0
UniRef100_UPI00075151F5/4-148,Cluster: stage V sporulation protein AC,UPI00075151F5,Bacillus,150,1386,1.0
UniRef100_UPI000C782FD0/3-149,Cluster: stage V sporulation protein AC,UPI000C782FD0,Bacillus subtilis,150,1423,1.0
UniRef100_UPI000C9A020C/7-150,Cluster: stage V sporulation protein AC,UPI000C9A020C,Priestia,153,2800373,1.0
UniRef100_UPI00077850BE/3-148,Cluster: stage V sporulation protein AC,UPI00077850BE,Bacillus nakamurai,150,1793963,1.0
UniRef100_UPI001293208C/7-150,Cluster: stage V sporulation protein AC,UPI001293208C,Priestia,153,2800373,1.0
UniRef100_A0A8D4AS79/3-149,Cluster: Stage V sporulation protein AC,A0A8D4AS79,Alkalihalobacillus gibsonii,150,79881,1.0
UniRef100_UPI001C0D35FD/7-150,Cluster: stage V sporulation protein AC,UPI001C0D35FD,Priestia aryabhattai,153,412384,1.0
UniRef100_A0A0M4FWV9/4-148,Cluster: Stage V sporulation protein AC,A0A0M4FWV9,Bacillus gobiensis,149,1441095,1.0
UniRef100_A0A5D4TFE7/5-147,Cluster: Stage V sporulation protein AC,A0A5D4TFE7,Sutcliffiella horikoshii,152,79883,1.0
UniRef100_A0A120ED97/7-150,Cluster: Stage V sporulation protein AC,A0A120ED97,Priestia megaterium (Bacillus megaterium),153,1404,2.0
UniRef100_UPI0019263BFB/3-149,Cluster: stage V sporulation protein AC,UPI0019263BFB,Bacillus sp. RHFS10,150,2804501,1.0
UniRef100_UPI001C241220/3-149,Cluster: stage V sporulation protein AC,UPI001C241220,Bacillus subtilis,150,1423,1.0
UniRef100_P40868/3-149,Cluster: Stage V sporulation protein AC,P40868,Bacillus subtilis (strain 168),150,224308,14.0
UniRef100_UPI001C8E9648/7-150,Cluster: stage V sporulation protein AC,UPI001C8E9648,Priestia aryabhattai,153,412384,1.0
UniRef100_UPI0013D59761/4-146,Cluster: stage V sporulation protein AC,UPI0013D59761,Bacillus licheniformis,149,1402,1.0
UniRef100_W7RQD9/4-146,Cluster: Stage V sporulation protein AC,W7RQD9,Bacillus haynesii,149,1925021,1.0
UniRef100_UPI00059761E1/4-148,Cluster: stage V sporulation protein AC,UPI00059761E1,Bacillus safensis,150,561879,1.0
UniRef100_A0A1L6ZMR0/4-148,Cluster: Stage V sporulation protein AC,A0A1L6ZMR0,Bacillus safensis,150,561879,1.0
UniRef100_UPI000FDAE014/3-149,Cluster: stage V sporulation protein AC,UPI000FDAE014,Bacillus halotolerans,150,260554,1.0
