Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_UPI001785C6D9	Cluster: stage V sporulation protein AA	UPI001785C6D9	Bacillus sp. PS06	207	2764176
UniRef100_UPI00194F024F	Cluster: stage V sporulation protein AA	UPI00194F024F	Bacillus sp. RD4P76	207	2810349
UniRef100_A0A2N3LMY0	Cluster: Stage V sporulation protein AA	A0A2N3LMY0	Margalitia camelliae	206	1707093
UniRef100_A0A7S8CBI1	Cluster: Stage V sporulation protein AA	A0A7S8CBI1	Bacillaceae bacterium R1DC41	206	2593652
UniRef100_UPI0011CB8796	Cluster: stage V sporulation protein AA	UPI0011CB8796	Bacillus marasmi	206	1926279
UniRef100_UPI001BC95B15	Cluster: stage V sporulation protein AA	UPI001BC95B15	Bacillus sp. FJAT-49736	206	2833582
UniRef100_A0A2N5GRT6	Cluster: Stage V sporulation protein AA	A0A2N5GRT6	Bacillus canaveralius	204	1403243
UniRef100_UPI001C8D58D1	Cluster: stage V sporulation protein AA	UPI001C8D58D1	Bacillus sp. S/N-304-OC-R1	206	2758034
UniRef100_A0A0Q3WX91	Cluster: Stage V sporulation protein AA	A0A0Q3WX91; A0A7W4LCQ1	Margalitia shackletonii; Bacillus sp. APMAM	206	157838; 2761103
UniRef100_A0A4R1QJ20	Cluster: Stage V sporulation protein AA	A0A4R1QJ20	Thermolongibacillus altinsuensis	207	575256
UniRef100_A0A6M0Q4L4	Cluster: Stage V sporulation protein AA	A0A6M0Q4L4	Bacillus mesophilus	206	1808955
UniRef100_A0A235FBS4	Cluster: Stage V sporulation protein AA	A0A235FBS4	Fictibacillus aquaticus	206	2021314
UniRef100_A0A6B3W121	Cluster: Stage V sporulation protein AA	A0A6B3W121	Bacillus aquiflavi	206	2672567
UniRef100_UPI001C8D1904	Cluster: stage V sporulation protein AA	UPI001C8D1904	Mesobacillus maritimus	206	1643336
UniRef100_A0A0M0GL93	Cluster: Stage V sporulation protein AA	A0A0M0GL93	Sporosarcina globispora (Bacillus globisporus)	206	1459
UniRef100_A0A263BUY0	Cluster: Stage V sporulation protein AA	A0A263BUY0	Lottiidibacillus patelloidae	208	2670334
UniRef100_I3DWX2	Cluster: Stage V sporulation protein AA	I3DWX2	Bacillus methanolicus PB1	206	997296
UniRef100_UPI00145C475D	Cluster: stage V sporulation protein AA	UPI00145C475D	Bacillus sp. RO3	206	2723914
UniRef100_UPI001CD7F488	Cluster: stage V sporulation protein AA	UPI001CD7F488	Rossellomorea aquimaris	206	189382
UniRef100_UPI0003FED6DA	Cluster: stage V sporulation protein AA	UPI0003FED6DA	Fictibacillus gelatini	207	225985
UniRef100_A0A178U3K2	Cluster: Stage V sporulation protein AA (SpoVAA)	A0A178U3K2	Parageobacillus thermoglucosidasius (Geobacillus thermoglucosidasius)	207	1426
UniRef100_A0A327YPR7	Cluster: Stage V sporulation protein AA	A0A327YPR7	Anoxybacillus vitaminiphilus	207	581036
UniRef100_A0A366F1X2	Cluster: Stage V sporulation protein AA	A0A366F1X2	Rossellomorea aquimaris	206	189382
UniRef100_UPI001A8C3985	Cluster: stage V sporulation protein AA	UPI001A8C3985	Bacillus sp. NTK034	206	2802176
UniRef100_A0A5D4TP28	Cluster: Stage V sporulation protein AA	A0A5D4TP28	Rossellomorea aquimaris	206	189382
UniRef100_A0A1U6JT28	Cluster: Stage V sporulation protein AA	A0A1U6JT28	Bacillus sp. V-88	206	1938744
UniRef100_UPI0007D0688D	Cluster: stage V sporulation protein AA	UPI0007D0688D	Rossellomorea aquimaris	206	189382
UniRef100_UPI001C8E4E2B	Cluster: stage V sporulation protein AA	UPI001C8E4E2B	Cytobacillus firmus (Bacillus firmus)	206	1399
UniRef100_A0A3A1QY89	Cluster: Stage V sporulation protein AA	A0A3A1QY89	Bacillus salacetis	206	2315464
UniRef100_A0A2V3A1Y6	Cluster: Stage V sporulation protein AA	A0A2V3A1Y6; UPI000D711506	Cytobacillus oceanisediminis	212	665099
UniRef100_UPI0005C9C86D	Cluster: stage V sporulation protein AA	UPI0005C9C86D	Rossellomorea aquimaris	206	189382
UniRef100_A0A1R1F9F4	Cluster: Stage V sporulation protein AA	A0A1R1F9F4	Paenibacillus sp. FSL R5-0490	206	1920424
UniRef100_A0A5D4MFG1	Cluster: Stage V sporulation protein AA	A0A5D4MFG1	Rossellomorea vietnamensis	206	218284
UniRef100_A0A0M3RFW3	Cluster: Stage V sporulation protein AA	A0A0M3RFW3	Bacillus sp. FJAT-18017	206	1705566
UniRef100_UPI00174965A7	Cluster: stage V sporulation protein AA	UPI00174965A7	Bacillus sp. LOB377	206	2759023
UniRef100_A0A0J5WGW2	Cluster: Stage V sporulation protein AA	A0A0J5WGW2	Cytobacillus firmus (Bacillus firmus)	206	1399
UniRef100_W7LFJ6	Cluster: Stage V sporulation protein AA	W7LFJ6	Cytobacillus firmus DS1	206	1307436
