Cluster ID	Cluster name	Cluster members	Organisms	Length	Size	Organism IDs
UniRef100_UPI001557B50D	Cluster: stage V sporulation protein AC	UPI001557B50D	Bacillus sp. WMMC1349	149	1	2736254
UniRef100_UPI001C1F20A6	Cluster: stage V sporulation protein AC	UPI001C1F20A6	Paenibacillus sp. SM 69	159	1	2594886
UniRef100_A0A7Y8RV01	Cluster: Stage V sporulation protein AC	A0A7Y8RV01; M5PAK1; A0A6I7T5I6	Bacillus sp.; Bacillus sonorensis L12; Bacillus paralicheniformis	149	3	1409; 1274524; 1648923
UniRef100_A0A081P8T6	Cluster: Stage V sporulation protein AC	A0A081P8T6	Paenibacillus tyrfis	159	1	1501230
UniRef100_A0A7U5D547	Cluster: Stage V sporulation protein AC	A0A7U5D547; A0A0H3E1A7	Bacillus subtilis subsp. globigii; Bacillus atrophaeus (strain 1942)	150	2	1496303; 720555
UniRef100_A0A2T6FVV0	Cluster: Stage V sporulation protein AC	A0A2T6FVV0	Paenibacillus elgii	159	1	189691
UniRef100_A0A0J6EYI1	Cluster: Stage V sporulation protein AC	A0A0J6EYI1	Bacillus glycinifermentans	149	1	1664069
UniRef100_UPI000B5947F0	Cluster: stage V sporulation protein AC	UPI000B5947F0	Paenibacillus tyrfis	159	1	1501230
UniRef100_UPI0011BF7826	Cluster: stage V sporulation protein AC	UPI0011BF7826	Bacillus paralicheniformis	149	1	1648923
UniRef100_A0A837XX55	Cluster: Uncharacterized protein	A0A837XX55	Bacillus atrophaeus	150	1	1452
UniRef100_A0A5D4T2G3	Cluster: Stage V sporulation protein AC	A0A5D4T2G3	Sutcliffiella horikoshii	152	1	79883
UniRef100_UPI00102DEEB6	Cluster: stage V sporulation protein AC	UPI00102DEEB6	Bacillus paralicheniformis	149	1	1648923
UniRef100_A0A0J5H0V1	Cluster: Stage V sporulation protein AC	A0A0J5H0V1	Bacillus sp. LL01	152	1	1665556
UniRef100_A0A4R6AF63	Cluster: Stage V sporulation protein AC	A0A4R6AF63	[Brevibacterium] frigoritolerans	151	1	450367
UniRef100_UPI001CBB3873	Cluster: stage V sporulation protein AC	UPI001CBB3873	Bacillus sp. DG-18	153	1	2875501
UniRef100_A0A7Z0WVR2	Cluster: Stage V sporulation protein AC (SpoVAC)	A0A7Z0WVR2	Bacillus paralicheniformis	149	1	1648923
UniRef100_UPI001CBBC4EC	Cluster: stage V sporulation protein AC	UPI001CBBC4EC	Sutcliffiella horikoshii	152	1	79883
UniRef100_UPI001CBE93E3	Cluster: stage V sporulation protein AC	UPI001CBE93E3	Bacillus sp. BY2G20	151	1	2874282
UniRef100_UPI000871F92F	Cluster: stage V sporulation protein AC	UPI000871F92F	Bacillus marinisedimentorum	153	1	1821260
UniRef100_A0A8G0WJ13	Cluster: Stage V sporulation protein AC	A0A8G0WJ13; A0A2M8T270; A0A4V3C195	Bacillus inaquosorum; Bacillus sp. SN1; Bacillus subtilis	150	3	483913; 2055158; 1423
UniRef100_UPI001C3F9A28	Cluster: stage V sporulation protein AC	UPI001C3F9A28	Bacillus licheniformis	149	1	1402
UniRef100_UPI001BE999F6	Cluster: stage V sporulation protein AC	UPI001BE999F6	unclassified Bacillus (in: Bacteria)	150	1	185979
UniRef100_UPI0013D07FB4	Cluster: stage V sporulation protein AC	UPI0013D07FB4	Bacillus safensis	150	1	561879
UniRef100_A0A2N5FDY0	Cluster: Stage V sporulation protein AC	A0A2N5FDY0	Bacillus sp. UMB0893	151	1	2066053
UniRef100_A0A073K3M7	Cluster: Stage V sporulation protein AC	A0A073K3M7	Bacillus manliponensis	151	1	574376
UniRef100_A0A4V1NXW4	Cluster: Stage V sporulation protein AC	A0A4V1NXW4	Ammoniphilus sp. CFH 90114	159	1	2493665
UniRef100_A0A415JEA3	Cluster: Stage V sporulation protein AC	A0A415JEA3; Q65HU7; A0A7G7UNH7; T5HP16	Bacillus licheniformis; Bacillus licheniformis (strain ATCC 14580 / DSM 13 / JCM 2505 / CCUG 7422 / NBRC 12200 / NCIMB 9375 / NCTC 10341 / NRRL NRS-1264 / Gibson 46); Bacillus sp. PAMC28748; Bacillus licheniformis CG-B52	149	4	1402; 279010; 2762328; 1368424
UniRef100_A0A5D4N9C8	Cluster: Stage V sporulation protein AC	A0A5D4N9C8	Bacillus subtilis	150	1	1423
UniRef100_UPI00145DB0A1	Cluster: stage V sporulation protein AC	UPI00145DB0A1	Bacillus sp. RO2	152	1	2723913
UniRef100_UPI001422C87E	Cluster: stage V sporulation protein AC	UPI001422C87E	Paenibacillus lupini	161	1	1450204
UniRef100_A0A150F8Q4	Cluster: Stage V sporulation protein AC	A0A150F8Q4	Bacillus nakamurai	150	1	1793963
UniRef100_A0A1S2C2A5	Cluster: Stage V sporulation protein AC	A0A1S2C2A5	Priestia aryabhattai	153	1	412384
UniRef100_UPI000F5E0CF5	Cluster: stage V sporulation protein AC	UPI000F5E0CF5	Bacillus licheniformis	149	1	1402
UniRef100_A0A161S805	Cluster: Stage V sporulation protein AC	A0A161S805	Paenibacillus elgii	159	1	189691
UniRef100_A0A6I2MB91	Cluster: Stage V sporulation protein AC	A0A6I2MB91; A0A1S1FLB3	Metabacillus idriensis; Bacillus sp. HMSC76G11	151	2	324768; 1608910
UniRef100_A0A8I2FLZ9	Cluster: Stage V sporulation protein AC	A0A8I2FLZ9; A0A2G7TRI4; S6FT69; A7Z688; A0A807MCM7	Bacillus amyloliquefaciens (Bacillus velezensis); Bacillus velezensis; Bacillus velezensis UCMB5033; Bacillus velezensis (strain DSM 23117 / BGSC 10A6 / LMG 26770 / FZB42) (Bacillus amyloliquefaciens subsp. plantarum); Bacillus sp. 275	150	5	1390; 492670; 1338518; 326423; 1941347
UniRef100_A0A3D8X3U2	Cluster: Stage V sporulation protein AC	A0A3D8X3U2	Priestia megaterium (Bacillus megaterium)	153	1	1404
UniRef100_A0A3E0R742	Cluster: Stage V sporulation protein AC	A0A3E0R742	Brevibacillus sp.	157	1	1882945
UniRef100_A0A6H2JS62	Cluster: Stage V sporulation protein AC	A0A6H2JS62	Bacillus mojavensis	150	1	72360
UniRef100_A0A5B8PWI0	Cluster: Stage V sporulation protein AC	A0A5B8PWI0; A0A8D4BHP0	Priestia megaterium (Bacillus megaterium); Priestia megaterium (strain WSH-002) (Bacillus megaterium)	153	2	1404; 1006007
UniRef100_UPI001C0EF5C2	Cluster: stage V sporulation protein AC	UPI001C0EF5C2	Brevibacillus sp. MCWH	149	1	2508871
UniRef100_UPI000994C65F	Cluster: stage V sporulation protein AC	UPI000994C65F	Sutcliffiella halmapala	152	1	79882
UniRef100_UPI0019657E0D	Cluster: stage V sporulation protein AC	UPI0019657E0D	Metabacillus iocasae	152	1	2291674
UniRef100_A0A2A8T268	Cluster: Stage V sporulation protein AC	A0A2A8T268; A0A0B6AQQ5; A0A7W3NCL5; D5DRL9; D5DL76; A0A0Q6GXU6; A0A0Q9HLT2	Priestia megaterium (Bacillus megaterium); Priestia megaterium (strain ATCC 14581 / DSM 32 / CCUG 1817 / JCM 2506 / NBRC 15308 / NCIMB 9376 / NCTC 10342 / NRRL B-14308 / VKM B-512 / Ford 19) (Bacillus megaterium); Priestia aryabhattai; Priestia megaterium (strain ATCC 12872 / QMB1551) (Bacillus megaterium); Priestia megaterium (strain DSM 319 / IMG 1521) (Bacillus megaterium); Bacillus sp. Leaf75; Bacillus sp. Root239	153	7	1404; 1348623; 412384; 545693; 592022; 1736235; 1736499
UniRef100_A0A1I2PLV9	Cluster: Stage V sporulation protein AC	A0A1I2PLV9; A0A806TN90; A0A2C5GZ11	Priestia megaterium (Bacillus megaterium); Priestia megaterium Q3; Priestia aryabhattai	153	3	1404; 1452722; 412384
UniRef100_A0A1R1QFZ5	Cluster: Stage V sporulation protein AC	A0A1R1QFZ5	Bacillus swezeyi	149	1	1925020
UniRef100_UPI0015F3BA76	Cluster: stage V sporulation protein AC	UPI0015F3BA76	Priestia aryabhattai	153	1	412384
UniRef100_A0A0B4S964	Cluster: Stage V sporulation protein AC	A0A0B4S964	Bacillus sp. WP8	150	1	756828
UniRef100_UPI001BA1AAF5	Cluster: stage V sporulation protein AC	UPI001BA1AAF5	Brevibacillus sp. NL20B1	157	1	2829799
UniRef100_A0A831TNX0	Cluster: Stage V sporulation protein AC	A0A831TNX0	Paenibacillaceae bacterium	163	1	2003592
UniRef100_A0A6I7FFL7	Cluster: Stage V sporulation protein AC	A0A6I7FFL7	Bacillus sp. NSP9.1	149	1	1071078
UniRef100_UPI00065D5F9E	Cluster: stage V sporulation protein AC	UPI00065D5F9E	Bacillus sp. G1(2015b)	150	1	1706732
