id,name,RepID,species,len,Tax
P40867/1-141,,,,,
UniRef100_A0A1S2LTS3/1-139,Cluster: Stage V sporulation protein AB,A0A1S2LTS3,Anaerobacillus arseniciselenatis,140,85682
UniRef100_A0A2N3LN09/1-139,Cluster: Stage V sporulation protein AB,A0A2N3LN09,Margalitia camelliae,140,1707093
UniRef100_UPI000B26E639/1-139,Cluster: stage V sporulation protein AB,UPI000B26E639,Bacillus alveayuensis,140,279215
UniRef100_A0A3L7DDF8/4-141,Cluster: Stage V sporulation protein AB,A0A3L7DDF8,Geobacillus stearothermophilus (Bacillus stearothermophilus),143,1422
UniRef100_UPI000B449466/1-137,Cluster: stage V sporulation protein AB,UPI000B449466,Gottfriedia luciferensis,138,178774
UniRef100_A0A164FC62/4-141,Cluster: Stage V sporulation protein AB,A0A164FC62,Geobacillus stearothermophilus (Bacillus stearothermophilus),143,1422
UniRef100_A0A6I2MGE3/1-139,Cluster: Stage V sporulation protein AB,A0A6I2MGE3,Metabacillus idriensis,140,324768
UniRef100_A0A4V3BAD8/1-139,Cluster: Stage V sporulation protein AB,A0A4V3BAD8,[Brevibacterium] frigoritolerans,140,450367
UniRef100_UPI001CBAB099/1-139,Cluster: stage V sporulation protein AB,UPI001CBAB099,Bacillus sp. BY2G20,140,2874282
UniRef100_A0A364K879/1-137,Cluster: Stage V sporulation protein AB,A0A364K879,Thermoflavimicrobium sp. FBKL4.011,140,2137476
UniRef100_UPI001CFE1959/4-140,Cluster: stage V sporulation protein AB,UPI001CFE1959,Metabacillus litoralis,141,152268
UniRef100_UPI00047DDB4B/1-139,Cluster: stage V sporulation protein AB,UPI00047DDB4B,Alkalihalobacillus bogoriensis,140,246272
UniRef100_Q5KXJ5/4-141,Cluster: Stage V sporulation protein AB,Q5KXJ5,Geobacillus kaustophilus (strain HTA426),143,235909
UniRef100_A0A0J0V5L6/4-141,Cluster: Stage V sporulation protein AB,A0A0J0V5L6,Geobacillus sp. T6,143,1659191
UniRef100_UPI0011425959/1-139,Cluster: stage V sporulation protein AB,UPI0011425959,Bacillus sp. 03113,140,2578211
UniRef100_A0A063YJV1/4-141,Cluster: Stage V sporulation protein AB,A0A063YJV1,Geobacillus sp. CAMR12739,143,1482738
UniRef100_UPI000996BA22/1-139,Cluster: stage V sporulation protein AB,UPI000996BA22,Litchfieldia alkalitelluris,140,304268
UniRef100_A0A2C1KDF3/1-139,Cluster: Stage V sporulation protein AB,A0A2C1KDF3,Bacillus sp. AFS040349,140,2033502
UniRef100_UPI00099681CB/1-139,Cluster: stage V sporulation protein AB,UPI00099681CB,Bacillus alkalicellulosilyticus,140,1912214
UniRef100_A0A142D225/4-141,Cluster: Stage V sporulation protein AB,A0A142D225,Geobacillus sp. JS12,143,1813182
UniRef100_UPI000EF5FECC/1-139,Cluster: stage V sporulation protein AB,UPI000EF5FECC,Metabacillus litoralis,140,152268
UniRef100_A0A1Q5SRB1/4-141,Cluster: Stage V sporulation protein AB (SpoVAB),A0A1Q5SRB1,Geobacillus proteiniphilus,143,860353
UniRef100_A0A7V9YX44/1-139,Cluster: Stage V sporulation protein AB,A0A7V9YX44,Anoxybacillus calidus,140,575178
UniRef100_A0A285CM39/1-139,Cluster: Stage V sporulation protein AB,A0A285CM39,Bacillus oleivorans,140,1448271
UniRef100_UPI0001D584E6/4-141,Cluster: stage V sporulation protein AB,UPI0001D584E6,Geobacillus sp. (strain C56-T3),143,691437
UniRef100_UPI0004DF605F/4-141,Cluster: stage V sporulation protein AB,UPI0004DF605F,Geobacillus,143,129337
UniRef100_UPI00042780C5/1-137,Cluster: stage V sporulation protein AB,UPI00042780C5,Gottfriedia acidiceleris,138,371036
UniRef100_A4IQI2/4-141,Cluster: Stage V sporulation protein AB,A4IQI2,Geobacillus thermodenitrificans (strain NG80-2),143,420246
UniRef100_UPI001A9D8870/1-139,Cluster: stage V sporulation protein AB,UPI001A9D8870,Metabacillus sp. BG109,140,2795218
UniRef100_A0A2B9B764/2-137,Cluster: Stage V sporulation protein AB,A0A2B9B764,Bacillus sp. AFS053548,138,2033505
UniRef100_A0A2C3K243/2-137,Cluster: Stage V sporulation protein AB,A0A2C3K243,Bacillus sp. AFS029533,138,2033494
UniRef100_UPI0009959805/1-139,Cluster: stage V sporulation protein AB,UPI0009959805,Metabacillus halosaccharovorans,140,930124
UniRef100_UPI0018757389/1-139,Cluster: stage V sporulation protein AB,UPI0018757389,Cytobacillus luteolus,140,682179
UniRef100_A0A2B8U4M9/3-139,Cluster: Stage V sporulation protein AB,A0A2B8U4M9,Bacillus sp. AFS055030,140,2033507
UniRef100_A0A2A8MFE2/2-137,Cluster: Stage V sporulation protein AB,A0A2A8MFE2,Bacillus sp. AFS001701,138,2033480
UniRef100_A0A0E0TD84/4-141,Cluster: Stage V sporulation protein AB,A0A0E0TD84,Geobacillus sp. (strain Y412MC52),143,550542
UniRef100_A0A2A7I5B3/2-137,Cluster: Stage V sporulation protein AB,A0A2A7I5B3,Bacillus sp. AFS096315,138,2033517
UniRef100_A0A6N3WLN7/4-141,Cluster: Stage V sporulation protein AB,A0A6N3WLN7,Geobacillus icigianus,143,1430331
UniRef100_UPI000B45508D/1-137,Cluster: stage V sporulation protein AB,UPI000B45508D,Gottfriedia acidiceleris,138,371036
UniRef100_A0A327YPN8/1-139,Cluster: Stage V sporulation protein AB,A0A327YPN8,Anoxybacillus vitaminiphilus,140,581036
UniRef100_UPI001C1F4C50/1-139,Cluster: stage V sporulation protein AB,UPI001C1F4C50,Metabacillus halosaccharovorans,140,930124
UniRef100_A0A377G2L0/4-141,Cluster: Uncharacterized protein,A0A377G2L0,[Flavobacterium] thermophilum,143,1414643
UniRef100_A0A2C0ZBG3/2-137,Cluster: Stage V sporulation protein AB,A0A2C0ZBG3,Bacillus sp. AFS041924,138,2033503
UniRef100_A0A561X4M8/4-141,Cluster: Stage V sporulation protein AB,A0A561X4M8,Geobacillus sp. C56-T2,143,600773
UniRef100_A0A178TCM9/1-132,Cluster: Stage V sporulation protein AB (SpoVAB),A0A178TCM9,Geobacillus stearothermophilus (Bacillus stearothermophilus),134,1422
UniRef100_UPI00195F9D4D/2-138,Cluster: stage V sporulation protein AB,UPI00195F9D4D,Scopulibacillus daqui,139,1469162
UniRef100_A0A0D6ZAI4/1-138,Cluster: Stage V sporulation protein AB,A0A0D6ZAI4,Mesobacillus subterraneus,140,285983
UniRef100_A0A179T4M3/1-139,Cluster: Stage V sporulation protein AB,A0A179T4M3,Metabacillus litoralis,140,152268
