id,name,RepID,species,len,Tax
P40869/1-338,,,,,
UniRef100_A0A7U9P661/123-387,Cluster: SpoVAD,A0A7U9P661,Geobacillus thermopakistaniensis (strain MAS1),391,1408282
UniRef100_UPI000409BF57/4-336,Cluster: stage V sporulation protein AD,UPI000409BF57,Caloramator sp. ALD01,338,1031288
UniRef100_A0A1M4YZR6/4-336,Cluster: Stage V sporulation protein AD,A0A1M4YZR6,Caloramator proteoclasticus DSM 10124,338,1121262
UniRef100_A0A1T4WQH4/4-336,Cluster: Stage V sporulation protein AD,A0A1T4WQH4,Caloramator quimbayensis,338,1147123
UniRef100_A0A5B7TIN1/4-336,Cluster: Stage V sporulation protein AD,A0A5B7TIN1,Caloramator sp. E03,338,2576307
UniRef100_R7RSU9/4-336,Cluster: Stage V sporulation protein AD (SpoVAD),R7RSU9,Thermobrachium celere DSM 8682,338,941824
UniRef100_UPI00194593F6/4-336,Cluster: stage V sporulation protein AD,UPI00194593F6,Thermobrachium celere,338,53422
UniRef100_A0A017RUL7/4-336,Cluster: Stage V sporulation protein AD,A0A017RUL7,Fervidicella metallireducens AeB,338,1403537
UniRef100_A0A096DPJ3/4-336,Cluster: Stage V sporulation protein AD,A0A096DPJ3,Caloranaerobacter azorensis H53214,339,1156417
UniRef100_A0A419TB71/4-336,Cluster: Stage V sporulation protein AD,A0A419TB71,Thermohalobacter berrensis,339,99594
UniRef100_A0A4Q1T1W9/3-332,Cluster: Stage V sporulation protein AD,A0A4Q1T1W9,Ammoniphilus sp. CFH 90114,334,2493665
UniRef100_A0A0P8XAE7/4-336,Cluster: Stage V sporulation protein AD,A0A0P8XAE7,Caloranaerobacter sp. TR13,339,1302151
UniRef100_UPI00084DA6E2/4-336,Cluster: stage V sporulation protein AD,UPI00084DA6E2,Caloranaerobacter ferrireducens,339,1323370
UniRef100_H2JHB3/4-336,Cluster: Stage V sporulation protein AD,H2JHB3,Clostridium sp. BNL1100,339,755731
