Cluster ID	Cluster name	Cluster members	Organisms	Length	Organism IDs
UniRef100_A0A7U9P661	Cluster: SpoVAD	A0A7U9P661	Geobacillus thermopakistaniensis (strain MAS1)	391	1408282
UniRef100_UPI000409BF57	Cluster: stage V sporulation protein AD	UPI000409BF57	Caloramator sp. ALD01	338	1031288
UniRef100_A0A1M4YZR6	Cluster: Stage V sporulation protein AD	A0A1M4YZR6	Caloramator proteoclasticus DSM 10124	338	1121262
UniRef100_A0A1T4WQH4	Cluster: Stage V sporulation protein AD	A0A1T4WQH4	Caloramator quimbayensis	338	1147123
UniRef100_A0A5B7TIN1	Cluster: Stage V sporulation protein AD	A0A5B7TIN1	Caloramator sp. E03	338	2576307
UniRef100_R7RSU9	Cluster: Stage V sporulation protein AD (SpoVAD)	R7RSU9	Thermobrachium celere DSM 8682	338	941824
UniRef100_UPI00194593F6	Cluster: stage V sporulation protein AD	UPI00194593F6	Thermobrachium celere	338	53422
UniRef100_A0A017RUL7	Cluster: Stage V sporulation protein AD	A0A017RUL7	Fervidicella metallireducens AeB	338	1403537
UniRef100_A0A096DPJ3	Cluster: Stage V sporulation protein AD	A0A096DPJ3	Caloranaerobacter azorensis H53214	339	1156417
UniRef100_A0A419TB71	Cluster: Stage V sporulation protein AD	A0A419TB71	Thermohalobacter berrensis	339	99594
UniRef100_A0A4Q1T1W9	Cluster: Stage V sporulation protein AD	A0A4Q1T1W9	Ammoniphilus sp. CFH 90114	334	2493665
UniRef100_A0A0P8XAE7	Cluster: Stage V sporulation protein AD	A0A0P8XAE7	Caloranaerobacter sp. TR13	339	1302151
UniRef100_UPI00084DA6E2	Cluster: stage V sporulation protein AD	UPI00084DA6E2	Caloranaerobacter ferrireducens	339	1323370
UniRef100_H2JHB3	Cluster: Stage V sporulation protein AD	H2JHB3	Clostridium sp. BNL1100	339	755731
UniRef100_G8LY85	Cluster: Stage V sporulation protein AD	G8LY85	Acetivibrio clariflavus (strain DSM 19732 / NBRC 101661 / EBR45) (Clostridium clariflavum)	339	720554
UniRef100_UPI001952EFFE	Cluster: stage V sporulation protein AD	UPI001952EFFE	Caloranaerobacter azorensis	339	116090
UniRef100_A0A1M5ULX2	Cluster: Stage V sporulation protein AD	A0A1M5ULX2	Sporanaerobacter acetigenes DSM 13106	338	1123281
UniRef100_A0A161PWN5	Cluster: Stage V sporulation protein AD	A0A161PWN5	Thermovenabulum gondwanense	336	520767
UniRef100_A0A7C6IS74	Cluster: Stage V sporulation protein AD	A0A7C6IS74	Clostridiales bacterium	334	1898207
UniRef100_UPI000FD9448A	Cluster: stage V sporulation protein AD	UPI000FD9448A	Paenibacillus koleovorans	338	121608
UniRef100_A0A7V6R883	Cluster: Stage V sporulation protein AD	A0A7V6R883	Clostridiaceae bacterium	337	1898204
UniRef100_A0A1M5P529	Cluster: Stage V sporulation protein AD	A0A1M5P529	Tepidibacter thalassicus DSM 15285	334	1123350
UniRef100_A0A559KAC4	Cluster: Stage V sporulation protein AD	A0A559KAC4	Paenibacillus sp. JC52	337	2163881
UniRef100_UPI000731A45F	Cluster: stage V sporulation protein AD	UPI000731A45F	Defluviitalea phaphyphila	339	1473580
UniRef100_A0A4V3ES73	Cluster: Stage V sporulation protein AD	A0A4V3ES73	Fonticella tunisiensis	338	1096341
UniRef100_A0A1M4UB57	Cluster: Stage V sporulation protein AD	A0A1M4UB57	Caldanaerobius fijiensis DSM 17918	337	1121256
UniRef100_UPI001AE154EE	Cluster: stage V sporulation protein AD	UPI001AE154EE	unclassified Paenibacillus	337	185978
UniRef100_A0A1M5V7A8	Cluster: Stage V sporulation protein AD	A0A1M5V7A8	Caloranaerobacter azorensis DSM 13643	339	1121264
UniRef100_A0A1H2SUJ8	Cluster: Stage V sporulation protein AD	A0A1H2SUJ8	Tepidimicrobium xylanilyticum	339	1123352
UniRef100_UPI001357B8A9	Cluster: stage V sporulation protein AD	UPI001357B8A9	Paenibacillus puerhi	336	2692622
UniRef100_B8I4W4	Cluster: Stage V sporulation protein AD	B8I4W4	Ruminiclostridium cellulolyticum (strain ATCC 35319 / DSM 5812 / JCM 6584 / H10) (Clostridium cellulolyticum)	339	394503
UniRef100_UPI001C3A8FA8	Cluster: stage V sporulation protein AD	UPI001C3A8FA8	Paenibacillus allorhizosphaerae	337	2849866
UniRef100_R1CY65	Cluster: Stage V sporulation protein AD (SpoVAD)	R1CY65	Caldisalinibacter kiritimatiensis	339	1304284
UniRef100_UPI000B9817E1	Cluster: stage V sporulation protein AD	UPI000B9817E1	Petroclostridium xylanilyticum	340	1792311
UniRef100_UPI001C3C169A	Cluster: stage V sporulation protein AD	UPI001C3C169A	Paenibacillus solanacearum	338	2048548
UniRef100_UPI00047DD719	Cluster: stage V sporulation protein AD	UPI00047DD719	Caldanaerobius polysaccharolyticus	337	44256
UniRef100_A0A4R7KC15	Cluster: Stage V sporulation protein AD	A0A4R7KC15	Fonticella tunisiensis	333	1096341
UniRef100_UPI00106FCFC4	Cluster: stage V sporulation protein AD	UPI00106FCFC4	Ammoniphilus sp. YIM 78166	335	1644106
UniRef100_U4R4R2	Cluster: Stage V sporulation protein AD	U4R4R2	Ruminiclostridium papyrosolvens C7	339	1330534
UniRef100_A0A1M6T841	Cluster: Stage V sporulation protein AD	A0A1M6T841	Caminicella sporogenes DSM 14501	338	1121266
UniRef100_UPI00101C89E4	Cluster: stage V sporulation protein AD	UPI00101C89E4	Anaerophilus nitritogenes	335	2498136
UniRef100_A0A3Q9I9W6	Cluster: Stage V sporulation protein AD	A0A3Q9I9W6	Paenibacillus lutimineralis	335	2707005
UniRef100_A0A2T0B1E4	Cluster: Stage V sporulation protein AD	A0A2T0B1E4	Clostridium liquoris	333	1289519
UniRef100_UPI000465959A	Cluster: stage V sporulation protein AD	UPI000465959A	Ruminiclostridium josui (Clostridium josui)	339	1499
UniRef100_A0A7X8JQT8	Cluster: Stage V sporulation protein AD	A0A7X8JQT8	Epulopiscium sp.	339	2384
UniRef100_UPI001CA5FC2C	Cluster: stage V sporulation protein AD	UPI001CA5FC2C	Crassaminicella profunda	333	1286698
UniRef100_A0A8F5G2M8	Cluster: Stage V sporulation protein AD	A0A8F5G2M8	Crassaminicella sp. 143-21	340	2855394
UniRef100_UPI000838BA95	Cluster: stage V sporulation protein AD	UPI000838BA95	unclassified Paenibacillus	335	185978
UniRef100_A0A2T0AVM5	Cluster: Stage V sporulation protein AD	A0A2T0AVM5	Moorella humiferrea	338	676965
UniRef100_A0A1V4SJ94	Cluster: Stage V sporulation protein AD	A0A1V4SJ94	Ruminiclostridium hungatei (Clostridium hungatei)	339	48256
UniRef100_A0A5S5AQH1	Cluster: Stage V sporulation protein AD	A0A5S5AQH1	Thermosediminibacter litoriperuensis	336	291989
UniRef100_F1T8C2	Cluster: Stage V sporulation protein AD	F1T8C2	Ruminiclostridium papyrosolvens DSM 2782	339	588581
UniRef100_A0A4Y7RV34	Cluster: Stage V sporulation protein AD	A0A4Y7RV34	Pelotomaculum propionicicum	336	258475
UniRef100_UPI0001FADF61	Cluster: stage V sporulation protein AD	UPI0001FADF61	Desulfotomaculum nigrificans	335	1565
UniRef100_UPI0005A0D0DC	Cluster: stage V sporulation protein AD	UPI0005A0D0DC	Alkaliphilus metalliredigens	340	208226
UniRef100_A6TQB0	Cluster: Stage V sporulation AD family protein	A6TQB0	Alkaliphilus metalliredigens (strain QYMF)	341	293826
UniRef100_UPI000DA6357C	Cluster: stage V sporulation protein AD	UPI000DA6357C	Paenibacillus bouchesdurhonensis	338	1870990
UniRef100_F6B9Y7	Cluster: Stage V sporulation protein AD	F6B9Y7	Desulfotomaculum nigrificans (strain DSM 14880 / VKM B-2319 / CO-1-SRB) (Desulfotomaculum carboxydivorans)	335	868595
UniRef100_UPI00119FC527	Cluster: stage V sporulation protein AD	UPI00119FC527	Geobacillus sp. (strain Y412MC10)	336	481743
UniRef100_A0A3S8RXQ5	Cluster: Stage V sporulation protein AD	A0A3S8RXQ5	Paenibacillus lentus	338	1338368
UniRef100_UPI000832702C	Cluster: stage V sporulation protein AD	UPI000832702C	Desulfofarcimen intricatum	338	1285191
UniRef100_A0A3S1B7B3	Cluster: Stage V sporulation protein AD	A0A3S1B7B3	Paenibacillus zeisoli	339	2496267
UniRef100_D9S3P2	Cluster: Stage V sporulation protein AD	D9S3P2	Thermosediminibacter oceani (strain ATCC BAA-1034 / DSM 16646 / JW/IW-1228P)	336	555079
UniRef100_A0A0Q9PHK1	Cluster: Stage V sporulation protein AD	A0A0Q9PHK1	Paenibacillus sp. Soil766	339	1736404
UniRef100_UPI00044A4D16	Cluster: stage V sporulation protein AD	UPI00044A4D16	Clostridium tetanomorphum	333	1553
UniRef100_S0FMC3	Cluster: Stage V sporulation protein AD	S0FMC3	Ruminiclostridium cellobioparum subsp. termitidis CT1112	339	1195236
UniRef100_A0A4R2KGP9	Cluster: Stage V sporulation protein AD	A0A4R2KGP9	Marinisporobacter balticus	333	2018667
UniRef100_A0A329MQQ3	Cluster: Stage V sporulation protein AD	A0A329MQQ3	Paenibacillus contaminans	339	450362
UniRef100_UPI000837E5B7	Cluster: stage V sporulation protein AD	UPI000837E5B7	Paenibacillus	337	44249
UniRef100_UPI0011A21970	Cluster: stage V sporulation protein AD	UPI0011A21970	Geobacillus sp. (strain Y412MC10)	336	481743
UniRef100_UPI0018AC14C0	Cluster: stage V sporulation protein AD	UPI0018AC14C0	Lutibacter sp. B2	333	2789328
UniRef100_A0A2G2MMM2	Cluster: Stage V sporulation protein AD	A0A2G2MMM2	Alkaliphilus sp.	340	1872455
UniRef100_A0A7W0I0V6	Cluster: Stage V sporulation protein AD	A0A7W0I0V6	Paenibacillus sp. CGMCC 1.16610	339	2755557
UniRef100_A0A2T4Z7A6	Cluster: Stage V sporulation protein AD	A0A2T4Z7A6	Desmospora activa DSM 45169	338	1121389
UniRef100_A0A285GSM6	Cluster: Stage V sporulation protein AD	A0A285GSM6	Orenia metallireducens	334	1413210
UniRef100_A0A1G4PUB2	Cluster: Stage V sporulation protein AD	A0A1G4PUB2	Paenibacillus tianmuensis	337	624147
UniRef100_A0A1V5BR24	Cluster: Stage V sporulation protein AD	A0A1V5BR24; A0A1V4VLG0	Pelotomaculum sp. PtaU1.Bin065; Pelotomaculum sp. PtaB.Bin117	336	1811696; 1811694
UniRef100_A0A3S1DKL5	Cluster: Stage V sporulation protein AD	A0A3S1DKL5	Paenibacillus anaericanus	334	170367
UniRef100_A0A355RWS3	Cluster: Stage V sporulation protein AD	A0A355RWS3	Clostridiaceae bacterium	338	1898204
UniRef100_UPI001266B22D	Cluster: stage V sporulation protein AD	UPI001266B22D	Paenibacillus guangzhouensis	339	1473112
UniRef100_A0A2W4JY59	Cluster: Stage V sporulation protein AD	A0A2W4JY59	Firmicutes bacterium	336	1879010
UniRef100_UPI0013D5C6DC	Cluster: stage V sporulation protein AD	UPI0013D5C6DC	Paenibacillus favisporus	336	221028
UniRef100_UPI000B7EE435	Cluster: stage V sporulation protein AD	UPI000B7EE435	Paenibacillus	336	44249
UniRef100_UPI001B2E592B	Cluster: stage V sporulation protein AD	UPI001B2E592B	Paenibacillus	336	44249
UniRef100_A0A3D9GXX2	Cluster: Stage V sporulation protein AD	A0A3D9GXX2; A0A1R1F3M4	Paenibacillus sp. VMFN-D1; Paenibacillus rhizosphaerae	336	2135608; 297318
UniRef100_UPI001563BA08	Cluster: stage V sporulation protein AD	UPI001563BA08	Paenibacillus qinlingensis	339	1837343
UniRef100_UPI0012676348	Cluster: stage V sporulation protein AD	UPI0012676348	Paenibacillus cellulositrophicus	336	562959
UniRef100_A0A1K1MKE9	Cluster: Stage V sporulation protein AD	A0A1K1MKE9	Paenibacillus sp. UNCCL117	336	1502764
UniRef100_A0A7X3CS07	Cluster: Stage V sporulation protein AD	A0A7X3CS07	Paenibacillus validus	338	44253
UniRef100_UPI000480CE54	Cluster: stage V sporulation protein AD	UPI000480CE54	Ruminiclostridium cellobioparum (Clostridium cellobioparum)	339	29355
UniRef100_A0A369AYP6	Cluster: Stage V sporulation protein AD	A0A369AYP6	Fontibacillus phaseoli	336	1416533
UniRef100_UPI00042A7AD9	Cluster: stage V sporulation protein AD	UPI00042A7AD9	Paenibacillus taiwanensis	338	401638
UniRef100_A0A7X2Z123	Cluster: Stage V sporulation protein AD	A0A7X2Z123	Paenibacillus woosongensis	338	307580
UniRef100_A0A7X9CPA6	Cluster: Stage V sporulation protein AD	A0A7X9CPA6	Tissierellia bacterium	339	2049431
UniRef100_UPI001B281C5D	Cluster: stage V sporulation protein AD	UPI001B281C5D	Paenibacillus woosongensis	338	307580
UniRef100_UPI000380E0A9	Cluster: stage V sporulation protein AD	UPI000380E0A9	Paenibacillus terrigena	339	369333
UniRef100_A0A267MNC9	Cluster: Stage V sporulation protein AD	A0A267MNC9	Anaeromicrobium sediminis	333	1478221
UniRef100_UPI0009AEDB53	Cluster: stage V sporulation protein AD	UPI0009AEDB53	Paenibacillus sp. 32352	337	1969111
UniRef100_A0A6L8UVS7	Cluster: Stage V sporulation protein AD	A0A6L8UVS7	Paenibacillus silvestris	339	2606219
UniRef100_A0A117SJ52	Cluster: Stage V sporulation protein AD	A0A117SJ52	Clostridia bacterium BRH_c25	342	1734399
UniRef100_UPI0004219325	Cluster: stage V sporulation protein AD	UPI0004219325	Aneurinibacillus terranovensis	337	278991
UniRef100_A0A197ZY68	Cluster: Stage V sporulation protein AD	A0A197ZY68	Paenibacillus oryzisoli	339	1850517
UniRef100_A0A6I3SMC6	Cluster: Stage V sporulation protein AD	A0A6I3SMC6	Heliobacterium mobile (Heliobacillus mobilis)	337	28064
UniRef100_UPI00037445EE	Cluster: stage V sporulation protein AD	UPI00037445EE	Paenibacillus fonticola	338	379896
UniRef100_A0A1M6MCA6	Cluster: Stage V sporulation protein AD	A0A1M6MCA6	Tepidibacter formicigenes DSM 15518	334	1123349
UniRef100_A0A081P8T7	Cluster: SpoVAD	A0A081P8T7	Paenibacillus tyrfis	337	1501230
UniRef100_UPI001490D7FA	Cluster: stage V sporulation protein AD	UPI001490D7FA	Paenibacillus plantarum	339	2654975
UniRef100_A0A162KQU6	Cluster: Stage V sporulation protein AD	A0A162KQU6	Paenibacillus crassostreae	339	1763538
UniRef100_UPI001CF1EDD3	Cluster: stage V sporulation protein AD	UPI001CF1EDD3	Clostridium algoriphilum	333	198347
UniRef100_A0A167VRC0	Cluster: Stage V sporulation protein AD	A0A167VRC0; A0A1N7AZY7	Paenibacillus macquariensis (Bacillus macquariensis); Paenibacillus macquariensis	339	1468; 948756
UniRef100_A0A5C0SEE7	Cluster: Stage V sporulation protein AD	A0A5C0SEE7	Crassaminicella thermophila	333	2599308
UniRef100_UPI0006CFCBA2	Cluster: stage V sporulation protein AD	UPI0006CFCBA2	Paenibacillus	338	44249
UniRef100_UPI001AE21752	Cluster: stage V sporulation protein AD	UPI001AE21752	Paenibacillus sediminis	336	664909
UniRef100_A0A4P6BBM2	Cluster: Stage V sporulation protein AD	A0A4P6BBM2	Moorella sp. E306M	338	2572683
UniRef100_F6DPW6	Cluster: Stage V sporulation protein AD	F6DPW6	Desulfotomaculum ruminis (strain ATCC 23193 / DSM 2154 / NCIMB 8452 / DL)	335	696281
UniRef100_UPI000405F6B8	Cluster: stage V sporulation protein AD	UPI000405F6B8	Paenibacillus harenae	338	306543
UniRef100_UPI0006B678F6	Cluster: stage V sporulation protein AD	UPI0006B678F6	Inediibacterium massiliense	335	1658111
UniRef100_UPI001CA696F6	Cluster: stage V sporulation protein AD	UPI001CA696F6	Crassaminicella profunda	340	1286698
UniRef100_UPI0006D85A85	Cluster: stage V sporulation protein AD	UPI0006D85A85	Paenibacillus ihumii	338	687436
UniRef100_UPI001AA6405D	Cluster: stage V sporulation protein AD	UPI001AA6405D	Clostridium polyendosporum	340	69208
UniRef100_A0A2S8PND1	Cluster: Stage V sporulation protein AD	A0A2S8PND1	Paenibacillus sp. AR247	336	1631599
UniRef100_A0A140L0Y2	Cluster: Stage V sporulation protein AD	A0A140L0Y2	Thermotalea metallivorans	338	520762
UniRef100_A0A4V5LRW4	Cluster: Stage V sporulation protein AD	A0A4V5LRW4	Cohnella pontilimi	339	2564100
UniRef100_A0A5C0SD46	Cluster: Stage V sporulation protein AD	A0A5C0SD46	Crassaminicella thermophila	337	2599308
UniRef100_UPI00110F6A35	Cluster: stage V sporulation protein AD	UPI00110F6A35	Paenibacillus thermoaerophilus	338	1215385
UniRef100_A0A0Q9N985	Cluster: Stage V sporulation protein AD	A0A0Q9N985	Paenibacillus sp. Soil750	339	1736398
UniRef100_A0A7Y0EGM4	Cluster: Stage V sporulation protein AD	A0A7Y0EGM4	Clostridium sp. P21	333	2716538
UniRef100_UPI00156EB64E	Cluster: stage V sporulation protein AD	UPI00156EB64E	Clostridium beijerinckii (Clostridium MP)	341	1520
UniRef100_A0A163VZH5	Cluster: Stage V sporulation protein AD	A0A163VZH5	Paenibacillus elgii	337	189691
UniRef100_UPI000490E955	Cluster: stage V sporulation protein AD	UPI000490E955	Paenibacillus sp. UNC451MF	337	1449063
UniRef100_A0A1T2XKK9	Cluster: Stage V sporulation protein AD	A0A1T2XKK9	Paenibacillus selenitireducens	339	1324314
UniRef100_A0A839TK58	Cluster: Stage V sporulation protein AD	A0A839TK58	Paenibacillus rhizosphaerae	336	297318
UniRef100_A0A1M4M7B8	Cluster: Stage V sporulation protein AD	A0A1M4M7B8	Proteiniborus sp. DW1	338	1889883
UniRef100_UPI0015764C67	Cluster: stage V sporulation protein AD	UPI0015764C67	Paenibacillus sp. JMULE4	339	2518342
UniRef100_UPI001C129849	Cluster: stage V sporulation protein AD	UPI001C129849	Alkaliphilus sp. MSJ-5	340	2841507
UniRef100_UPI000248DCF5	Cluster: stage V sporulation protein AD	UPI000248DCF5	Paenibacillus elgii	337	189691
UniRef100_UPI00190B3E5A	Cluster: stage V sporulation protein AD	UPI00190B3E5A	Paenibacillus sp. S28	336	2767463
UniRef100_UPI00047901EC	Cluster: stage V sporulation protein AD	UPI00047901EC	Alkaliphilus transvaalensis	333	114628
UniRef100_A0A1S6IVT7	Cluster: Stage V sporulation protein AD	A0A1S6IVT7	Desulfotomaculum ferrireducens	335	1833852
UniRef100_A0A1S9N3T8	Cluster: Stage V sporulation protein AD	A0A1S9N3T8	Clostridium beijerinckii (Clostridium MP)	341	1520
UniRef100_UPI00195B88C5	Cluster: stage V sporulation protein AD	UPI00195B88C5	Caldicoprobacter guelmensis	338	1170224
UniRef100_A0A7X2ZNY1	Cluster: Stage V sporulation protein AD	A0A7X2ZNY1	Paenibacillus timonensis	334	225915
UniRef100_UPI00187393B3	Cluster: stage V sporulation protein AD	UPI00187393B3	Paenibacillus sp. DXFW5	334	2780073
UniRef100_UPI0019074D88	Cluster: stage V sporulation protein AD	UPI0019074D88	Clostridium sp. YIM B02505	333	2800325
UniRef100_M1ZFR8	Cluster: Stage V sporulation protein AD	M1ZFR8	[Clostridium] ultunense Esp	339	1288971
UniRef100_A0A7Y6BRT2	Cluster: Stage V sporulation protein AD	A0A7Y6BRT2	Paenibacillus xylanilyticus	339	248903
UniRef100_A0A7C6VRP9	Cluster: Stage V sporulation protein AD	A0A7C6VRP9; UPI001A9C8495	Epulopiscium sp.; Defluviitalea raffinosedens	339	2384; 1450156
UniRef100_UPI00140AC578	Cluster: stage V sporulation protein AD	UPI00140AC578	Paenibacillus sp. S3N08	337	2716264
UniRef100_UPI001BA61E07	Cluster: stage V sporulation protein AD	UPI001BA61E07	Alkaliphilus sp. B6464	340	2731219
UniRef100_UPI000370FA5A	Cluster: stage V sporulation protein AD	UPI000370FA5A	Paenibacillus ginsengihumi	339	431596
UniRef100_A0A1M4V4M7	Cluster: Stage V sporulation protein AD	A0A1M4V4M7	Thermoanaerobacter uzonensis DSM 18761	337	1123369
UniRef100_A0A259TJ13	Cluster: Stage V sporulation protein AD	A0A259TJ13	Paenibacillus sp. XY044	336	2026089
