id,name,RepID,species,len,Tax
C0H450/1-116,,,,,
UniRef100_A0A2C1KC26/1-116,Cluster: Stage V sporulation protein AE,A0A2C1KC26,Bacillus sp. AFS040349,116,2033502
UniRef100_A0A897HG18/1-116,Cluster: Stage V sporulation protein AE,A0A897HG18,Priestia megaterium (Bacillus megaterium),116,1404
UniRef100_A0A1I1ZM43/1-116,Cluster: Stage V sporulation protein AE,A0A1I1ZM43,Alteribacillus iranensis,116,930128
UniRef100_A0A4R8G9W5/1-116,Cluster: Stage V sporulation protein AE,A0A4R8G9W5,Cytobacillus oceanisediminis,116,665099
UniRef100_UPI000EF57EE0/1-116,Cluster: stage V sporulation protein AE,UPI000EF57EE0,Metabacillus litoralis,116,152268
UniRef100_UPI001152394B/1-116,Cluster: stage V sporulation protein AE,UPI001152394B,Alkalihalobacterium alkalinitrilicum,116,427920
UniRef100_UPI0011A0DB29/1-116,Cluster: stage V sporulation protein AE,UPI0011A0DB29,Paenibacillaceae,116,186822
UniRef100_A0A4U1D0N5/1-116,Cluster: Stage V sporulation protein AE,A0A4U1D0N5,Robertmurraya kyonggiensis,116,1037680
UniRef100_UPI001C1FE0AA/1-116,Cluster: stage V sporulation protein AE,UPI001C1FE0AA,Alkalihalobacterium elongatum,116,2675466
UniRef100_A0A3R9MNV6/4-118,Cluster: Stage V sporulation protein AE,A0A3R9MNV6,Bacillus sp. HMF5848,118,2495421
UniRef100_UPI000C246630/1-116,Cluster: stage V sporulation protein AE,UPI000C246630,Bacillus solitudinis,116,2014074
UniRef100_A0A0J1I414/1-116,Cluster: Stage V sporulation protein AEB,A0A0J1I414,Niallia circulans (Bacillus circulans),116,1397
UniRef100_U6SS88/1-116,Cluster: Stage V sporulation protein AEB,U6SS88,Alkalihalophilus marmarensis DSM 21297,116,1188261
UniRef100_A0A094WNZ2/1-116,Cluster: Stage V sporulation protein AEB,A0A094WNZ2,Alkalihalobacillus alcalophilus ATCC 27647 = CGMCC 1.3604,116,1218173
UniRef100_A0A1H3L7Z6/1-116,Cluster: Stage V sporulation protein AE,A0A1H3L7Z6,Evansella caseinilytica,116,1503961
UniRef100_A0A380XR58/1-116,Cluster: Stage V sporulation protein AE,A0A380XR58,Cytobacillus firmus (Bacillus firmus),116,1399
UniRef100_A0A4Y3PIM1/1-116,Cluster: Stage V sporulation protein AE,A0A4Y3PIM1,Brevibacillus parabrevis,116,54914
UniRef100_A0A0N0E976/1-116,Cluster: Stage V sporulation protein AEB,A0A0N0E976,Bacillus sp. CHD6a,116,1643452
UniRef100_A0A0M2PQK9/1-116,Cluster: Stage V sporulation protein AEB,A0A0M2PQK9,Bacillus sp. SA1-12,116,1455638
UniRef100_A0A658JHQ4/1-116,Cluster: Stage V sporulation protein AE,A0A658JHQ4,Butyricicoccus sp. 1XD8-22,116,2320083
UniRef100_UPI000995AED1/1-116,Cluster: stage V sporulation protein AE,UPI000995AED1,Metabacillus halosaccharovorans,116,930124
UniRef100_A0A235FAN3/1-116,Cluster: Stage V sporulation protein AE,A0A235FAN3,Fictibacillus aquaticus,116,2021314
UniRef100_A0A7T9RES6/1-116,Cluster: Stage V sporulation protein AE,A0A7T9RES6,Peribacillus psychrosaccharolyticus (Bacillus psychrosaccharolyticus),116,1407
UniRef100_J3B0S3/1-116,Cluster: Stage V sporulation protein AE,J3B0S3,Brevibacillus sp. CF112,116,1144311
UniRef100_A0A4S3PHX1/1-116,Cluster: Stage V sporulation protein AE,A0A4S3PHX1,Bacillus timonensis,116,1033734
UniRef100_UPI00047A2783/1-116,Cluster: stage V sporulation protein AE,UPI00047A2783,Metabacillus,116,2675233
UniRef100_UPI001C26D5FF/1-116,Cluster: stage V sporulation protein AE,UPI001C26D5FF,Desertibacillus haloalkaliphilus,116,1328930
UniRef100_A0A7Y5EPR9/1-116,Cluster: Stage V sporulation protein AE,A0A7Y5EPR9,Cytobacillus firmus (Bacillus firmus),116,1399
UniRef100_A0A7X8MYV1/1-116,Cluster: Stage V sporulation protein AE,A0A7X8MYV1,Bacillus sp. RO1,116,2722703
UniRef100_UPI0007BF0857/1-116,Cluster: stage V sporulation protein AE,UPI0007BF0857,Bacillus massiliglaciei,116,1816693
UniRef100_A0A4Y8ISL4/1-116,Cluster: Stage V sporulation protein AE,A0A4Y8ISL4,Filobacillus milosensis,116,94137
